"id","code","name","parent_id/id","type","user_type/id","reconcile"
"l10n_tn.pcg_507","507","Emprunts échus et impayés","l10n_tn.pcg_50","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_508","508","Intérêts courus (à subdiviser selon la même ventilation que le compte 50)","l10n_tn.pcg_50","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_51","51","Prêts et autres créances financières courants","l10n_tn.pcg_5","view","account.data_account_type_cash","False"
"l10n_tn.pcg_511","511","Prêts courants liés au cycle d'exploitation","l10n_tn.pcg_51","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_516","516","Échéances à moins d'un an sur prêts non courants","l10n_tn.pcg_51","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_517","517","Échéances à moins d'un an sur autres créances financières","l10n_tn.pcg_51","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_518","518","Intérêts courus","l10n_tn.pcg_51","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_52","52","Placements courants","l10n_tn.pcg_5","view","account.data_account_type_cash","False"
"l10n_tn.pcg_523","523","Actions","l10n_tn.pcg_52","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5231","5231","Titres cotés","l10n_tn.pcg_523","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5235","5235","Titres non cotés","l10n_tn.pcg_523","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_524","524","Autres titres conférant un droit de propriété","l10n_tn.pcg_52","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_525","525","Obligations et bons émis par la société et rachetés par elle","l10n_tn.pcg_52","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_526","526","Obligations","l10n_tn.pcg_52","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5261","5261","Titres cotés","l10n_tn.pcg_526","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5265","5265","Titres non cotés","l10n_tn.pcg_526","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5266","5266","Échéances à moins d'un an sur les obligations immobilisées","l10n_tn.pcg_526","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_527","527","Bons du trésor et bons de caisse à court terme","l10n_tn.pcg_52","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_528","528","Autres placements courants et créances assimilées","l10n_tn.pcg_52","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5281","5281","Autres valeurs mobilières","l10n_tn.pcg_528","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5288","5288","Intérêts courus sur obligations bons et valeurs assimilées","l10n_tn.pcg_528","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_529","529","Versements restant à effectuer sur valeurs mobilières de placement non libérées","l10n_tn.pcg_52","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_53","53","Banques établissements financiers et assimilés","l10n_tn.pcg_5","view","account.data_account_type_cash","False"
"l10n_tn.pcg_531","531","Valeurs à l'encaissement","l10n_tn.pcg_53","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5311","5311","Coupons échus à l'encaissement","l10n_tn.pcg_531","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5312","5312","Chèques à encaisser","l10n_tn.pcg_531","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5313","5313","Effets à l'encaissement","l10n_tn.pcg_531","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5314","5314","Effets à l'escompte","l10n_tn.pcg_531","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_532","532","Banques","l10n_tn.pcg_53","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5321","5321","Comptes en dinars","l10n_tn.pcg_532","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5324","5324","Comptes en devises","l10n_tn.pcg_532","view","account.data_account_type_cash","False"
"l10n_tn.pcg_534","534","CCP","l10n_tn.pcg_53","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_535","535","Comptes au trésor","l10n_tn.pcg_53","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_537","537","Autres organismes financiers","l10n_tn.pcg_53","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_54","54","Caisse","l10n_tn.pcg_5","view","account.data_account_type_cash","False"
"l10n_tn.pcg_541","541","Caisse siège social","l10n_tn.pcg_54","view","account.data_account_type_cash","False"
"l10n_tn.pcg_5411","5411","Caisse en dinars","l10n_tn.pcg_541","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_5414","5414","Caisse en devises","l10n_tn.pcg_541","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_542","542","Caisses succursales","l10n_tn.pcg_54","Regular","account.data_account_type_cash","False"
"l10n_tn.pcg_55","55","Régies d'avances et accréditifs","l10n_tn.pcg_5","view","account.data_account_type_view","False"
"l10n_tn.pcg_58","58","Virements internes","l10n_tn.pcg_5","Regular","account.data_account_type_cash","True"
"l10n_tn.pcg_59","59","Provisions pour dépréciation des comptes financiers (Même ventilation que les comptes de la classe 5)","l10n_tn.pcg_5","view","account.data_account_type_view","False"
"l10n_tn.pcg_cla_6_et_7","Classes 6 et 7","Comptes de gestion","l10n_tn.pcg_0","view","account.data_account_type_view","False"
"l10n_tn.pcg_6","Classe 6 ","Comptes de charges","l10n_tn.pcg_cla_6_et_7","view","account.data_account_type_view","False"
"l10n_tn.pcg_60","60","Achats (sauf 603)","l10n_tn.pcg_6","view","account.data_account_type_view","False"
"l10n_tn.pcg_601","601","Achats stockés - Matières premières et fournitures liées","l10n_tn.pcg_60","view","account.data_account_type_view","False"
"l10n_tn.pcg_6011","6011","Matières (ou groupe) A","l10n_tn.pcg_601","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6012","6012","Matières (ou groupe) B","l10n_tn.pcg_601","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6013","6013","Fournitures A - B - C ..","l10n_tn.pcg_601","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_602","602","Achats stockés - Autres approvisionnements","l10n_tn.pcg_60","view","account.data_account_type_view","False"
"l10n_tn.pcg_6021","6021","Matières consommables","l10n_tn.pcg_602","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6022","6022","Fournitures consommables","l10n_tn.pcg_602","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6026","6026","Emballages","l10n_tn.pcg_602","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_604","604","Achats d’études et de prestations de services (y compris achat de sous-traitance de production)","l10n_tn.pcg_60","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_605","605","Achats de matériel équipements et travaux","l10n_tn.pcg_60","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_606","606","Achats non stockés de matières et fournitures","l10n_tn.pcg_60","view","account.data_account_type_view","False"
"l10n_tn.pcg_6061","6061","Fournitures non stockables (eau - énergie...) ","l10n_tn.pcg_606","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6062","6063","Fournitures d'entretien et de petit équipement","l10n_tn.pcg_606","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6063","6064","Fournitures administratives","l10n_tn.pcg_606","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_6068","6068","Autres matières et fournitures","l10n_tn.pcg_606","Regular",account.data_account_type_expense,"False"
"l10n_tn.pcg_607","607","Achats de marchandises","l10n_tn.pcg_60","view","account.data_account_type_view","False"
